feature,importance
duration,33289.666666666664
balance,31424.0
age,22829.0
day,20045.333333333332
month,13827.666666666666
pdays,10508.0
job,10185.333333333334
campaign,8795.333333333334
education,4863.333333333333
marital,3792.0
previous,3332.6666666666665
contact,2869.3333333333335
housing,2737.0
poutcome,2167.3333333333335
loan,1381.6666666666667
default,250.33333333333334
