fold,lgbm_auc,xgb_auc,cat_auc,time_seconds
1,0.9688597034216271,0.9674739176062988,0.967115400070061,349.056765794754
2,0.9688048689221278,0.9672766325398622,0.9669835510922185,341.69972681999207
3,0.9692029577502816,0.9676505898848166,0.9674423030830409,349.30192828178406
