model,fold,auc
neural_network,1,0.9631537270202137
catboost,1,0.968077720626509
xgboost,1,0.9688741746690317
lightgbm,1,0.9697648551135003
neural_network,2,0.9626946485983787
catboost,2,0.9673298426793525
xgboost,2,0.9684123621176843
lightgbm,2,0.9691287939098345
neural_network,3,0.9626743699342355
catboost,3,0.9671245223485835
xgboost,3,0.968290516545151
lightgbm,3,0.9689160896115255
neural_network,4,0.9634818918704179
catboost,4,0.9680093829695197
xgboost,4,0.9687982559859326
lightgbm,4,0.9695191093316804
neural_network,5,0.9630680052820336
catboost,5,0.968401604714286
xgboost,5,0.9691506888582875
lightgbm,5,0.9697041562311876
neural_network,OOF,0.9630035435746659
catboost,OOF,0.9677848023991354
xgboost,OOF,0.9686991624807693
lightgbm,OOF,0.9693988969588023
meta_logistic,OOF,0.9694737286195089
meta_lightgbm,OOF,0.9696401697453236
meta_weighted,OOF,0.9691717211862828
meta_rank,OOF,0.9686812211137329
final_model,FINAL,0.9696401697453236
