iter	Passed	Remaining
315	36781	50515
316	36922	50434
317	37027	50300
318	37145	50186
319	37245	50048
320	37388	49967
321	37532	49888
322	37643	49763
323	37784	49679
324	37903	49565
325	38115	49572
326	38397	49669
327	38542	49588
328	38671	49485
329	38814	49400
330	39028	49404
331	39177	49325
332	39317	49235
333	39467	49156
334	39593	49048
335	39728	48951
336	39878	48872
337	40033	48798
338	40153	48682
339	40272	48563
340	40389	48444
341	40504	48321
342	40663	48251
343	40780	48130
344	40926	48043
345	41057	47939
346	41177	47823
347	41301	47710
348	41427	47599
349	41557	47493
350	41680	47380
351	41806	47269
352	41943	47171
353	42122	47120
354	42291	47056
355	42433	46962
356	42549	46840
357	42694	46748
358	42806	46621
359	42939	46518
360	43187	46537
361	43322	46433
362	43444	46317
363	43597	46232
364	43738	46134
365	43885	46044
366	44003	45921
367	44125	45804
368	44249	45688
369	44374	45574
370	44490	45449
371	44629	45349
372	44764	45244
373	44898	45138
374	45084	45084
375	45200	44960
376	45332	44851
377	45486	44764
378	45608	44645
379	45755	44551
380	45878	44433
381	46002	44316
382	46106	44180
383	46233	44066
384	46358	43950
385	46497	43847
386	46622	43731
387	46748	43615
388	46860	43487
389	46987	43373
390	47109	43254
391	47287	43186
392	47449	43103
393	47562	42975
394	47703	42873
395	47837	42764
396	47962	42646
397	48084	42527
398	48322	42509
399	48438	42383
400	48530	42236
401	48641	42107
402	48756	41981
403	48898	41878
404	49017	41755
405	49123	41621
406	49269	41521
407	49385	41396
408	49525	41291
409	49666	41186
410	49801	41076
411	49915	40950
412	50071	40857
413	50187	40731
414	50310	40612
415	50430	40489
416	50547	40365
417	50662	40238
418	50785	40119
419	50892	39987
420	51009	39862
421	51121	39734
422	51237	39609
423	51357	39486
424	51478	39366
425	51604	39248
426	51728	39129
427	51865	39020
428	51989	38900
429	52145	38805
430	52305	38713
431	52430	38594
432	52554	38474
433	52666	38346
434	52831	38257
435	52959	38140
436	53090	38025
437	53215	37906
438	53347	37792
439	53485	37682
440	53607	37561
441	53747	37452
442	53844	37314
443	53967	37193
444	54097	37078
445	54227	36962
446	54377	36860
447	54523	36754
448	54654	36638
449	54765	36510
450	54883	36385
451	55014	36270
452	55132	36146
453	55290	36048
454	55391	35913
455	55513	35791
456	55716	35721
457	55857	35612
458	55976	35488
459	56092	35362
460	56215	35241
461	56327	35113
462	56466	35001
463	56615	34896
464	56856	34847
465	57059	34774
466	57211	34669
467	57372	34570
468	57482	34440
469	57625	34329
470	57732	34198
471	57866	34082
472	58000	33966
473	58143	33855
474	58272	33736
475	58382	33606
476	58516	33490
477	58647	33372
478	58770	33249
479	58887	33124
480	59004	32998
481	59120	32871
482	59265	32761
483	59407	32649
484	59534	32529
485	59674	32415
486	59816	32303
487	59963	32193
488	60069	32061
489	60193	31939
490	60325	31821
491	60447	31697
492	60568	31574
493	60677	31444
494	60797	31320
495	60908	31190
496	61024	31064
497	61140	30938
498	61276	30822
499	61370	30685
500	61492	30562
501	61601	30432
502	61717	30306
503	61834	30180
504	61937	30048
505	62041	29917
506	62150	29787
507	62276	29667
508	62387	29539
509	62498	29411
510	62607	29282
511	62712	29151
512	62842	29032
513	62984	28918
514	63095	28791
515	63241	28679
516	63363	28556
517	63479	28431
518	63608	28311
519	63742	28193
520	63851	28065
521	63974	27943
522	64079	27812
523	64201	27689
524	64331	27570
525	64453	27448
526	64591	27331
527	64722	27212
528	64857	27095
529	64963	26966
530	65057	26831
531	65173	26706
532	65303	26587
533	65427	26465
534	65549	26342
535	65692	26227
536	65841	26115
537	65997	26006
538	66136	25890
539	66254	25765
540	66376	25642
541	66514	25525
542	66632	25401
543	66766	25283
544	66885	25158
545	66985	25027
546	67126	24911
547	67236	24784
548	67352	24659
549	67456	24529
550	67574	24405
551	67681	24277
552	67812	24157
553	67925	24031
554	68029	23902
555	68172	23786
556	68298	23665
557	68405	23537
558	68539	23418
559	68646	23290
560	68763	23166
561	68886	23043
562	68988	22914
563	69106	22790
564	69196	22657
565	69324	22536
566	69443	22412
567	69555	22287
568	69687	22167
569	69795	22040
570	69912	21916
571	70058	21801
572	70161	21673
573	70281	21549
574	70391	21423
575	70501	21297
576	70618	21173
577	70717	21043
578	70832	20919
579	70954	20796
580	71074	20674
581	71187	20548
582	71328	20432
583	71441	20307
584	71552	20181
585	71684	20062
586	71834	19947
587	71990	19834
588	72120	19713
589	72231	19588
590	72348	19464
591	72464	19340
592	72603	19222
593	72740	19103
594	72879	18985
595	73010	18865
596	73123	18740
597	73233	18614
598	73349	18490
599	73468	18367
600	73602	18247
601	73701	18119
602	73827	17997
603	73936	17872
604	74033	17743
605	74144	17618
606	74267	17496
607	74403	17377
608	74506	17250
609	74624	17127
610	74728	17000
611	74832	16874
612	74938	16748
613	75058	16625
614	75182	16503
615	75308	16382
616	75442	16262
617	75560	16139
618	75674	16015
619	75793	15892
620	75909	15768
621	76017	15643
622	76124	15518
623	76249	15396
624	76381	15276
625	76510	15155
626	76637	15034
627	76745	14909
628	76877	14788
629	77006	14667
630	77126	14545
631	77233	14420
632	77349	14296
633	77461	14172
634	77575	14049
635	77689	13925
636	77800	13801
637	77908	13676
638	78022	13553
639	78144	13431
640	78269	13309
641	78391	13187
642	78512	13065
643	78622	12940
644	78760	12821
645	78896	12701
646	79064	12586
647	79190	12465
648	79323	12344
649	79444	12222
650	79561	12099
651	79680	11976
652	79775	11850
653	79908	11729
654	80042	11609
655	80150	11485
656	80267	11362
657	80390	11240
658	80504	11116
659	80634	10995
660	80789	10877
661	80917	10756
662	81041	10634
663	81160	10511
664	81295	10391
665	81415	10268
666	81541	10146
667	81656	10023
668	81762	9899
669	81895	9778
670	82023	9657
671	82131	9533
672	82233	9408
673	82350	9285
674	82472	9163
675	82605	9042
676	82733	8921
677	82852	8798
678	82965	8675
679	83080	8552
680	83214	8431
681	83344	8310
682	83488	8189
683	83624	8068
684	83738	7945
685	83858	7823
686	83993	7702
687	84120	7580
688	84242	7458
689	84377	7337
690	84506	7215
691	84639	7094
692	84731	6969
693	84870	6848
694	84965	6723
695	85076	6600
696	85184	6477
697	85304	6355
698	85400	6230
699	85506	6107
700	85627	5985
701	85747	5863
702	85881	5741
703	86008	5619
704	86147	5498
705	86260	5375
706	86386	5254
707	86501	5131
708	86625	5009
709	86754	4887
710	86891	4766
711	87013	4643
712	87156	4522
713	87284	4400
714	87424	4279
715	87548	4157
716	87679	4035
717	87807	3913
718	87931	3791
719	88083	3670
720	88205	3547
721	88340	3425
722	88454	3303
723	88584	3181
724	88725	3059
725	88839	2936
726	88971	2814
727	89086	2692
728	89201	2569
729	89320	2447
730	89424	2324
731	89552	2202
732	89670	2079
733	89814	1957
734	89929	1835
735	90053	1712
736	90184	1590
737	90314	1468
738	90438	1346
739	90561	1223
740	90677	1101
741	90790	978
742	90913	856
743	91014	733
744	91147	611
745	91255	489
746	91371	366
747	91514	244
748	91623	122
749	91757	0
