iter	Logloss
0	0.5994789102
1	0.5319290451
2	0.4715150783
3	0.4216998332
4	0.3824823961
5	0.3505935971
6	0.3242287793
7	0.3018597758
8	0.2848690134
9	0.2702154556
10	0.2586328204
11	0.2493949231
12	0.2406480996
13	0.2328639034
14	0.2263455263
15	0.2210297313
16	0.2160092059
17	0.2121359532
18	0.2082633126
19	0.2049626276
20	0.2023886948
21	0.1992486446
22	0.1965330225
23	0.1939120591
24	0.1921502087
25	0.190467084
26	0.1889620467
27	0.1871547294
28	0.1859266174
29	0.1846207452
30	0.183505481
31	0.1826554419
32	0.1818659344
33	0.1810103987
34	0.1803218723
35	0.1796275298
36	0.1788032188
37	0.1781171848
38	0.1774050738
39	0.1766590502
40	0.1760588612
41	0.1755862775
42	0.1751867763
43	0.1744002592
44	0.1738941243
45	0.1733357438
46	0.1727412153
47	0.1722347965
48	0.1718129699
49	0.1715300898
50	0.1710710887
51	0.1707718121
52	0.1705230823
53	0.1702145037
54	0.1698829393
55	0.1695908861
56	0.1692966254
57	0.1690824146
58	0.1688815897
59	0.1686299852
60	0.1683652444
61	0.168068173
62	0.1676060887
63	0.1672585483
64	0.1669580469
65	0.1667211811
66	0.1663252953
67	0.166095876
68	0.1656882972
69	0.1654771048
70	0.1653081693
71	0.1650610939
72	0.164898124
73	0.1647000411
74	0.1645821691
75	0.1644063542
76	0.1641496174
77	0.1639180891
78	0.1637762654
79	0.1636395056
80	0.1634934283
81	0.1633005769
82	0.1631373656
83	0.1629831184
84	0.1628794757
85	0.1627393267
86	0.1626397821
87	0.1625525121
88	0.1623326434
89	0.1621506943
90	0.1619561659
91	0.1617615378
92	0.1615954646
93	0.1614657581
94	0.1613750623
95	0.1612813955
96	0.1611536995
97	0.1610171949
98	0.160892149
99	0.1607711601
100	0.1606779911
101	0.1605243309
102	0.1604187062
103	0.1603450589
104	0.1602507853
105	0.1600993461
106	0.159969618
107	0.1598739738
108	0.1597164424
109	0.1596005115
110	0.1595148087
111	0.1594402576
112	0.1593414087
113	0.1591949731
114	0.1590293069
115	0.1589428139
116	0.1588005852
117	0.1586770588
118	0.1586009564
119	0.1585106998
120	0.1583991387
121	0.1582613701
122	0.1581863383
123	0.1581084031
124	0.1580309529
125	0.1579153414
126	0.1577781925
127	0.1576848805
128	0.157613818
129	0.1575380049
130	0.1574670722
131	0.157432064
132	0.1573725119
133	0.1572762595
134	0.1572143652
135	0.1571340117
136	0.1570650179
137	0.1570055362
138	0.1569476828
139	0.1569051115
140	0.1568600292
141	0.1568270443
142	0.1567909907
143	0.156723342
144	0.1566971602
145	0.1565999423
146	0.156545335
147	0.1565113452
148	0.1564721573
149	0.1564380504
150	0.15638071
151	0.1562901515
152	0.1562072449
153	0.1561098514
154	0.1560653343
155	0.1560276225
156	0.155930901
157	0.1558800514
158	0.1558021566
159	0.1557488067
160	0.1557116338
161	0.1556259408
162	0.1555697441
163	0.1555317064
164	0.1554815069
165	0.1554091725
166	0.1553627454
167	0.1552660383
168	0.1551935854
169	0.1551553114
170	0.1551192106
171	0.1550559958
172	0.1550031594
173	0.1549506481
174	0.1549104787
175	0.1548523607
176	0.1547951236
177	0.1547302834
178	0.1546795424
179	0.15459862
180	0.1545290721
181	0.1544841286
182	0.1544004281
183	0.1543684205
184	0.1543382503
185	0.1542509049
186	0.1541901334
187	0.1541513132
188	0.1540809721
189	0.1540493556
190	0.1539513424
191	0.1538834622
192	0.1538195931
193	0.1537645638
194	0.1537089309
195	0.1536158745
196	0.1535661038
197	0.1535124624
198	0.1534664073
199	0.153437153
200	0.1534018217
201	0.1533548841
202	0.1533164158
203	0.1532856266
204	0.1532467354
205	0.1531652672
206	0.1531228875
207	0.1530851818
208	0.152997913
209	0.1529716696
210	0.1529371869
211	0.1528949497
212	0.1528112662
213	0.1527786272
214	0.1527196969
215	0.1526781243
216	0.1526433153
217	0.1526110184
218	0.1525696022
219	0.1524868166
220	0.1524322427
221	0.1523983407
222	0.1523443488
223	0.1522953104
224	0.1522491834
225	0.1522197626
226	0.152160724
227	0.1521178531
228	0.1520876337
229	0.1520570938
230	0.1520285502
231	0.1519966223
232	0.1519772619
233	0.1519242052
234	0.1519124812
235	0.1518913728
236	0.1518653047
237	0.1518323096
238	0.1518137655
239	0.15178736
240	0.1517446669
241	0.1516830413
242	0.1516191344
243	0.1515757494
244	0.1514989167
245	0.151473755
246	0.1514386346
247	0.1514015388
248	0.1513655157
249	0.1513329376
250	0.1512696486
251	0.1512370096
252	0.15121478
253	0.1511890444
