model,fold,auc
neural_network,0,0.9583541979937852
catboost,0,0.9661849108123162
neural_network,1,0.958090402777226
catboost,1,0.9653175677645851
neural_network,2,0.9587721925978263
catboost,2,0.9653731230692526
neural_network,3,0.9588858394533791
catboost,3,0.9663595002440714
neural_network,4,0.9585041274669945
catboost,4,0.9664033912672273
neural_network,OOF,0.9584449016089411
catboost,OOF,0.9659239721448922
meta_model,OOF,0.9659502347383482
