timestamp,fold,epoch,train_loss,val_loss,val_auc,lr,best_val_auc,elapsed_s
2025-08-12T14:17:32.435720+00:00,0,1,0.557651,0.454388,0.955639,9.755527e-04,0.955639,5.59
2025-08-12T14:17:37.813514+00:00,0,2,0.497724,0.440857,0.958382,9.046040e-04,0.958382,10.97
2025-08-12T14:17:43.542597+00:00,0,3,0.484575,0.436951,0.959206,7.940987e-04,0.959206,16.70
2025-08-12T14:17:49.284122+00:00,0,4,0.477061,0.435202,0.959584,6.548540e-04,0.959584,22.44
2025-08-12T14:17:54.924920+00:00,0,5,0.472492,0.436405,0.959260,5.005000e-04,0.959584,28.08
2025-08-12T14:18:00.555951+00:00,0,6,0.470410,0.429911,0.960388,3.461460e-04,0.960388,33.71
2025-08-12T14:18:06.040842+00:00,0,7,0.465980,0.428759,0.960672,2.069013e-04,0.960672,39.20
2025-08-12T14:18:11.136287+00:00,0,8,0.465289,0.428544,0.960888,9.639601e-05,0.960888,44.29
2025-08-12T14:18:16.013183+00:00,0,9,0.463674,0.427295,0.960962,2.544727e-05,0.960962,49.17
2025-08-12T14:18:21.108540+00:00,0,10,0.461170,0.427301,0.961040,1.000000e-03,0.961040,54.27
2025-08-12T14:18:26.695768+00:00,0,11,0.470007,0.430614,0.960298,9.938503e-04,0.961040,59.85
2025-08-12T14:18:31.914958+00:00,0,12,0.467093,0.432138,0.960363,9.755527e-04,0.961040,65.07
2025-08-12T14:18:37.314584+00:00,0,13,0.466067,0.428845,0.960585,9.455578e-04,0.961040,70.47
2025-08-12T14:18:42.252721+00:00,0,14,0.463437,0.429262,0.960659,9.046040e-04,0.961040,75.41
2025-08-12T14:18:47.187422+00:00,0,15,0.461833,0.429684,0.960877,8.536998e-04,0.961040,80.35
2025-08-12T14:18:52.065790+00:00,0,16,0.461581,0.426989,0.961141,7.940987e-04,0.961141,85.22
2025-08-12T14:18:57.060444+00:00,0,17,0.458879,0.427612,0.960723,7.272683e-04,0.961141,90.22
2025-08-12T14:19:02.208627+00:00,0,18,0.457759,0.426618,0.961213,6.548540e-04,0.961213,95.37
2025-08-12T14:19:07.274706+00:00,0,19,0.456115,0.426350,0.961329,5.786390e-04,0.961329,100.43
2025-08-12T14:19:12.406180+00:00,0,20,0.453051,0.424374,0.961577,4.906991e-04,0.961577,105.56
2025-08-12T14:19:17.297676+00:00,0,21,0.453851,0.426356,0.961212,3.988927e-04,0.961577,110.46
2025-08-12T14:19:22.900227+00:00,0,22,0.453355,0.423196,0.961842,3.160439e-04,0.961842,116.06
2025-08-12T14:19:28.377188+00:00,0,23,0.451029,0.423673,0.961819,2.432296e-04,0.961842,121.54
2025-08-12T14:19:33.485354+00:00,0,24,0.450083,0.423349,0.961770,1.816653e-04,0.961842,126.64
2025-08-12T14:19:38.641819+00:00,0,25,0.448645,0.421941,0.962161,1.326836e-04,0.962161,131.80
2025-08-12T14:19:44.185858+00:00,0,26,0.447108,0.421189,0.962144,9.784999e-05,0.962161,137.34
2025-08-12T14:19:49.738445+00:00,0,27,0.446774,0.421850,0.962082,7.935597e-05,0.962161,142.90
2025-08-12T14:19:55.167123+00:00,0,28,0.447265,0.421582,0.962162,8.089427e-05,0.962162,148.33
2025-08-12T14:20:00.665944+00:00,0,29,0.446379,0.421664,0.962131,1.000000e-04,0.962162,153.82
2025-08-12T14:20:05.869153+00:00,0,30,0.446296,0.421971,0.962079,1.000000e-04,0.962162,159.03
2025-08-12T14:20:10.654702+00:00,0,31,0.445801,0.421475,0.962180,1.000000e-04,0.962180,163.81
2025-08-12T14:20:15.834766+00:00,0,32,0.445191,0.421481,0.962260,1.000000e-04,0.962260,168.99
2025-08-12T14:20:21.193010+00:00,0,33,0.445110,0.421665,0.962117,1.000000e-04,0.962260,174.35
2025-08-12T14:20:26.005364+00:00,0,34,0.446198,0.421212,0.962314,1.000000e-04,0.962314,179.16
2025-08-12T14:20:30.960479+00:00,0,35,0.445767,0.422870,0.962032,1.000000e-04,0.962314,184.12
2025-08-12T14:20:35.819419+00:00,0,36,0.443858,0.421756,0.962277,1.000000e-04,0.962314,188.98
